movement_id,date_detected,metric_name,market_id,category_id,segment_id,magnitude_pct,direction,difficulty,ground_truth_attribution,active_confounders,is_data_artifact,ground_truth_narrative
MOV_4CF952B6F5,2024-12-30,install_to_first_purchase_rate,EG,GAM_MID,ACT_HIGH,-31.26,decrease,HARD,"[{""cause"": ""Platform Policy Change"", ""type"": ""confounder"", ""contribution_pct"": 0.05}, {""cause"": ""Seasonal pattern"", ""type"": ""seasonal"", ""contribution_pct"": 0.9}, {""cause"": ""Noise/organic"", ""type"": ""residual"", ""contribution_pct"": 0.05}]","[""Platform Policy Change""]",False,"Install To First Purchase Rate in EG (GAM_MID, ACT_HIGH) decreased 31.3% WoW around 2024-12-30. Primary driver: Seasonal pattern (90%). Secondary factor: Platform Policy Change (5%). Remaining 5% attributed to noise/organic trends."
MOV_215F99B0F7,2024-12-30,offer_ctr,RU,APP_SOC,ACT_FREE,-21.58,decrease,HARD,"[{""cause"": ""Platform Policy Change"", ""type"": ""confounder"", ""contribution_pct"": 0.14}, {""cause"": ""Seasonal pattern"", ""type"": ""seasonal"", ""contribution_pct"": 0.81}, {""cause"": ""Noise/organic"", ""type"": ""residual"", ""contribution_pct"": 0.05}]","[""Platform Policy Change""]",False,"Offer Ctr in RU (APP_SOC, ACT_FREE) decreased 21.6% WoW around 2024-12-30. Primary driver: Seasonal pattern (81%). Secondary factor: Platform Policy Change (14%). Remaining 5% attributed to noise/organic trends."
MOV_8537CF59A6,2024-12-16,install_to_first_purchase_rate,EG,APP_PRD,ACT_MED,13.9,increase,HARD,"[{""cause"": ""Platform Policy Change"", ""type"": ""confounder"", ""contribution_pct"": 0.25}, {""cause"": ""Seasonal pattern"", ""type"": ""seasonal"", ""contribution_pct"": 0.7}, {""cause"": ""Noise/organic"", ""type"": ""residual"", ""contribution_pct"": 0.05}]","[""Platform Policy Change""]",False,"Install To First Purchase Rate in EG (APP_PRD, ACT_MED) increased 13.9% WoW around 2024-12-16. Primary driver: Seasonal pattern (70%). Secondary factor: Platform Policy Change (25%). Remaining 5% attributed to noise/organic trends."
MOV_E1B429B38F,2024-12-30,offer_ctr,JP,APP_ENT,ACT_MED,-21.43,decrease,HARD,"[{""cause"": ""Platform Policy Change"", ""type"": ""confounder"", ""contribution_pct"": 0.14}, {""cause"": ""Seasonal pattern"", ""type"": ""seasonal"", ""contribution_pct"": 0.81}, {""cause"": ""Noise/organic"", ""type"": ""residual"", ""contribution_pct"": 0.05}]","[""Platform Policy Change""]",False,"Offer Ctr in JP (APP_ENT, ACT_MED) decreased 21.4% WoW around 2024-12-30. Primary driver: Seasonal pattern (81%). Secondary factor: Platform Policy Change (14%). Remaining 5% attributed to noise/organic trends."
MOV_E0B498064B,2024-12-23,install_to_first_purchase_rate,US,APP_SOC,ACT_FREE,7.54,increase,HARD,"[{""cause"": ""Platform Policy Change"", ""type"": ""confounder"", ""contribution_pct"": 0.14}, {""cause"": ""Seasonal pattern"", ""type"": ""seasonal"", ""contribution_pct"": 0.81}, {""cause"": ""Noise/organic"", ""type"": ""residual"", ""contribution_pct"": 0.05}]","[""Platform Policy Change""]",False,"Install To First Purchase Rate in US (APP_SOC, ACT_FREE) increased 7.5% WoW around 2024-12-23. Primary driver: Seasonal pattern (81%). Secondary factor: Platform Policy Change (14%). Remaining 5% attributed to noise/organic trends."
MOV_B83B69226A,2024-12-16,offer_ctr,TR,GAM_CAS,ACT_MED,13.91,increase,HARD,"[{""cause"": ""Platform Policy Change"", ""type"": ""confounder"", ""contribution_pct"": 0.21}, {""cause"": ""Seasonal pattern"", ""type"": ""seasonal"", ""contribution_pct"": 0.74}, {""cause"": ""Noise/organic"", ""type"": ""residual"", ""contribution_pct"": 0.05}]","[""Platform Policy Change""]",False,"Offer Ctr in TR (GAM_CAS, ACT_MED) increased 13.9% WoW around 2024-12-16. Primary driver: Seasonal pattern (74%). Secondary factor: Platform Policy Change (21%). Remaining 5% attributed to noise/organic trends."
MOV_21D74210B5,2024-12-30,install_to_first_purchase_rate,MX,APP_ENT,ACT_HIGH,-24.57,decrease,HARD,"[{""cause"": ""Platform Policy Change"", ""type"": ""confounder"", ""contribution_pct"": 0.07}, {""cause"": ""Seasonal pattern"", ""type"": ""seasonal"", ""contribution_pct"": 0.88}, {""cause"": ""Noise/organic"", ""type"": ""residual"", ""contribution_pct"": 0.05}]","[""Platform Policy Change""]",False,"Install To First Purchase Rate in MX (APP_ENT, ACT_HIGH) decreased 24.6% WoW around 2024-12-30. Primary driver: Seasonal pattern (88%). Secondary factor: Platform Policy Change (7%). Remaining 5% attributed to noise/organic trends."
MOV_853485E411,2024-12-30,offer_ctr,DE,APP_TRV,ACT_HIGH,-20.96,decrease,HARD,"[{""cause"": ""Platform Policy Change"", ""type"": ""confounder"", ""contribution_pct"": 0.15}, {""cause"": ""Seasonal pattern"", ""type"": ""seasonal"", ""contribution_pct"": 0.81}, {""cause"": ""Noise/organic"", ""type"": ""residual"", ""contribution_pct"": 0.05}]","[""Platform Policy Change""]",False,"Offer Ctr in DE (APP_TRV, ACT_HIGH) decreased 21.0% WoW around 2024-12-30. Primary driver: Seasonal pattern (81%). Secondary factor: Platform Policy Change (15%). Remaining 5% attributed to noise/organic trends."
MOV_F0D3D4C445,2024-12-30,install_to_first_purchase_rate,KR,APP_PRD,ACT_FREE,-24.62,decrease,HARD,"[{""cause"": ""Platform Policy Change"", ""type"": ""confounder"", ""contribution_pct"": 0.07}, {""cause"": ""Seasonal pattern"", ""type"": ""seasonal"", ""contribution_pct"": 0.88}, {""cause"": ""Noise/organic"", ""type"": ""residual"", ""contribution_pct"": 0.05}]","[""Platform Policy Change""]",False,"Install To First Purchase Rate in KR (APP_PRD, ACT_FREE) decreased 24.6% WoW around 2024-12-30. Primary driver: Seasonal pattern (88%). Secondary factor: Platform Policy Change (7%). Remaining 5% attributed to noise/organic trends."
MOV_9B43EB4988,2025-01-06,offer_ctr,IN,GAM_HYP,ACT_FREE,-6.02,decrease,HARD,"[{""cause"": ""Platform Policy Change"", ""type"": ""confounder"", ""contribution_pct"": 0.95}, {""cause"": ""Noise/organic"", ""type"": ""residual"", ""contribution_pct"": 0.05}]","[""Platform Policy Change""]",False,"Offer Ctr in IN (GAM_HYP, ACT_FREE) decreased 6.0% WoW around 2025-01-06. Primary driver: Platform Policy Change (95%). Remaining 5% attributed to noise/organic trends."
MOV_81AA3158AF,2024-12-02,offer_ctr,RU,APP_HLT,ACT_FREE,9.93,increase,HARD,"[{""cause"": ""Platform Policy Change"", ""type"": ""confounder"", ""contribution_pct"": 0.95}, {""cause"": ""Noise/organic"", ""type"": ""residual"", ""contribution_pct"": 0.05}]","[""Platform Policy Change""]",False,"Offer Ctr in RU (APP_HLT, ACT_FREE) increased 9.9% WoW around 2024-12-02. Primary driver: Platform Policy Change (95%). Remaining 5% attributed to noise/organic trends."
MOV_71683C316D,2024-12-30,avg_session_duration,BR,APP_EDU,ACT_FREE,-10.92,decrease,MEDIUM,"[{""cause"": ""Seasonal pattern"", ""type"": ""seasonal"", ""contribution_pct"": 0.95}, {""cause"": ""Noise/organic"", ""type"": ""residual"", ""contribution_pct"": 0.05}]","[""Platform Policy Change""]",False,"Avg Session Duration in BR (APP_EDU, ACT_FREE) decreased 10.9% WoW around 2024-12-30. Primary driver: Seasonal pattern (95%). Remaining 5% attributed to noise/organic trends."
MOV_0D261D9E89,2025-03-10,avg_session_duration,BR,APP_EDU,ACT_FREE,-6.48,decrease,MEDIUM,"[{""cause"": ""Seasonal pattern"", ""type"": ""seasonal"", ""contribution_pct"": 0.95}, {""cause"": ""Noise/organic"", ""type"": ""residual"", ""contribution_pct"": 0.05}]","[""Nigeria Mobile Payment Integration""]",False,"Avg Session Duration in BR (APP_EDU, ACT_FREE) decreased 6.5% WoW around 2025-03-10. Primary driver: Seasonal pattern (95%). Remaining 5% attributed to noise/organic trends."
